-1044	3926	-739
-1092	3940	-763
-1125	3951	-788
-1127	3947	-807
-1127	3937	-812
-1127	3929	-798
-1080	3927	-779
-1056	3927	-771
-1055	3927	-775
-1066	3927	-785
-1079	3927	-796
-1102	3929	-804
-1121	3933	-800
-1119	3941	-787
-1102	3949	-780
-1080	3960	-780
-1051	3976	-524
-1026	3991	-754
-1013	3991	-752
-1009	3972	-752
-1009	3952	-754
-1010	3939	-753
-1017	3931	-750
-1023	3927	-758
-1023	3919	-770
-1022	3911	-780
-1024	3911	-793
-1028	3912	-806
-1031	3907	-820
-1027	3895	-835
-1023	3891	-845
-1019	3903	-852
-1011	3920	-856
-1004	3933	-854
-997	3940	-853
-993	3938	-855
-996	3928	-852
-999	3921	-841
-999	3923	-829
-1005	3934	-821
-1016	3945	-824
-1017	3948	-831
-1015	3952	-834
-1019	3955	-840
-1019	3949	-851
-1019	3942	-860
-1021	3938	-869
-1024	3938	-875
-1028	3938	-880
-1036	3939	-885
-1033	3935	-892
-1021	3923	-899
-1015	3914	-904
-1012	3914	-906
-1005	3929	-905
-1004	3962	-902
-1012	3992	-899
-1021	4001	-897
-1029	3996	-897
-1035	3998	-895
-1042	4011	-887
-1043	4013	-871
-1037	3990	-853
-1028	3964	-842
-1024	3957	-835
-1026	3974	-832
-1021	3990	-835
-1012	3984	-847
-1006	3967	-858
-1003	3948	-864
-1003	3931	-868
-1002	3918	-874
-1002	3913	-879
-1011	3917	-880
-1021	3922	-880
-1018	3919	-880
-1015	3908	-883
-1012	3896	-886
-1009	3893	-889
-1008	3890	-890
-1008	3874	-890
-1004	3870	-892
-997	3888	-897
-989	3909	-898
-983	3924	-894
-978	3937	-890
-975	3937	-884
-975	3945	-876
-975	3943	-865
-975	3932	-855
-976	3912	-854
-978	3888	-857
-978	3870	-857
-980	3862	-857
-980	3863	-875
-980	3873	-884
-995	3893	-890
-1012	3911	-890
-1010	3935	-889
-1031	3959	-886
-1044	3963	-880
-1020	3965	-863
-1007	3974	-840
-1012	3993	-818
-1017	4013	-793
-1012	4025	-771
-1008	4032	-758
-1009	4023	-761
-1006	3994	-771
-998	3965	-777
-998	3958	-792
-1016	3970	-812
-1036	3991	-828
