10-08 10:40:48 ,1163036668 ,-976 ,3114 ,-2619
10-08 10:40:48 ,1163036668 ,-976 ,3059 ,-2585
10-08 10:40:48 ,1163036670 ,-981 ,3043 ,-2617
10-08 10:40:48 ,1163036670 ,-988 ,3049 ,-2678
10-08 10:40:48 ,1163036719 ,-993 ,3059 ,-2710
10-08 10:40:48 ,1163036719 ,-992 ,3063 ,-2704
10-08 10:40:48 ,1163036720 ,-988 ,3053 ,-2657
10-08 10:40:48 ,1163036720 ,-984 ,3045 ,-2599
10-08 10:40:48 ,1163036770 ,-979 ,3045 ,-2574
10-08 10:40:48 ,1163036770 ,-975 ,3054 ,-2583
10-08 10:40:48 ,1163036772 ,-974 ,3070 ,-2616
10-08 10:40:48 ,1163036772 ,-972 ,3079 ,-2653
10-08 10:40:48 ,1163036801 ,-969 ,3078 ,-2676
10-08 10:40:48 ,1163036801 ,-967 ,3074 ,-2683
10-08 10:40:48 ,1163036837 ,-967 ,3073 ,-2683
10-08 10:40:48 ,1163036837 ,-968 ,3076 ,-2692
10-08 10:40:48 ,1163036838 ,-969 ,3082 ,-2707
10-08 10:40:48 ,1163036838 ,-968 ,3084 ,-2709
10-08 10:40:48 ,1163036876 ,-964 ,3085 ,-2698
10-08 10:40:48 ,1163036876 ,-958 ,3090 ,-2683
10-08 10:40:48 ,1163036877 ,-953 ,3091 ,-2672
10-08 10:40:48 ,1163036877 ,-951 ,3086 ,-2666
10-08 10:40:48 ,1163036878 ,-954 ,3080 ,-2676
10-08 10:40:48 ,1163036878 ,-957 ,3075 ,-2699
10-08 10:40:48 ,1163036934 ,-954 ,3066 ,-2716
10-08 10:40:48 ,1163036934 ,-952 ,3053 ,-2710
10-08 10:40:48 ,1163036935 ,-951 ,3041 ,-2681
10-08 10:40:48 ,1163036935 ,-952 ,3032 ,-2644
10-08 10:40:48 ,1163036970 ,-954 ,3027 ,-2620
10-08 10:40:48 ,1163036970 ,-954 ,3022 ,-2615
10-08 10:40:48 ,1163036971 ,-954 ,3012 ,-2610
10-08 10:40:48 ,1163036971 ,-959 ,3006 ,-2591
10-08 10:40:48 ,1163036972 ,-960 ,3004 ,-2570
10-08 10:40:48 ,1163036972 ,-958 ,3002 ,-2569
10-08 10:40:48 ,1163037005 ,-956 ,3002 ,-2591
10-08 10:40:48 ,1163037005 ,-958 ,3002 ,-2624
10-08 10:40:48 ,1163037032 ,-959 ,3009 ,-2658
10-08 10:40:48 ,1163037032 ,-961 ,3013 ,-2683
10-08 10:40:48 ,1163037083 ,-962 ,3016 ,-2686
10-08 10:40:48 ,1163037083 ,-960 ,3022 ,-2670
10-08 10:40:48 ,1163037084 ,-960 ,3032 ,-2670
10-08 10:40:48 ,1163037084 ,-960 ,3046 ,-2644
10-08 10:40:48 ,1163037085 ,-957 ,3064 ,-2630
10-08 10:40:48 ,1163037085 ,-953 ,3085 ,-2635
10-08 10:40:48 ,1163037125 ,-949 ,3106 ,-2650
10-08 10:40:48 ,1163037125 ,-945 ,3112 ,-2661
10-08 10:40:48 ,1163037126 ,-940 ,3105 ,-2660
10-08 10:40:48 ,1163037126 ,-944 ,3104 ,-2658
10-08 10:40:48 ,1163037177 ,-952 ,3107 ,-2658
10-08 10:40:48 ,1163037177 ,-959 ,3115 ,-2664
10-08 10:40:48 ,1163037178 ,-966 ,3123 ,-2675
10-08 10:40:48 ,1163037178 ,-970 ,3125 ,-2677
10-08 10:40:48 ,1163037179 ,-973 ,3126 ,-2667
10-08 10:40:48 ,1163037179 ,-972 ,3120 ,-2660
10-08 10:40:48 ,1163037229 ,-969 ,3114 ,-2654
10-08 10:40:48 ,1163037229 ,-967 ,3112 ,-2646
10-08 10:40:48 ,1163037230 ,-966 ,3105 ,-2633
10-08 10:40:48 ,1163037230 ,-964 ,3086 ,-2625
10-08 10:40:48 ,1163037281 ,-965 ,3069 ,-2637
10-08 10:40:48 ,1163037281 ,-965 ,3062 ,-2651
10-08 10:40:48 ,1163037284 ,-967 ,3057 ,-2664
10-08 10:40:48 ,1163037284 ,-969 ,3052 ,-2675
10-08 10:40:48 ,1163037285 ,-970 ,3053 ,-2685
10-08 10:40:48 ,1163037285 ,-967 ,3054 ,-2697
10-08 10:40:48 ,1163037324 ,-963 ,3051 ,-2694
10-08 10:40:48 ,1163037324 ,-960 ,3053 ,-2681
10-08 10:40:48 ,1163037325 ,-960 ,3057 ,-2679
10-08 10:40:48 ,1163037325 ,-959 ,3060 ,-2679
10-08 10:40:48 ,1163037368 ,-959 ,3062 ,-2682
10-08 10:40:48 ,1163037368 ,-958 ,3064 ,-2689
10-08 10:40:48 ,1163037369 ,-958 ,3075 ,-2690
10-08 10:40:48 ,1163037369 ,-960 ,3085 ,-2691
10-08 10:40:48 ,1163037370 ,-962 ,3091 ,-2700
10-08 10:40:48 ,1163037370 ,-963 ,3106 ,-2712
10-08 10:40:48 ,1163037407 ,-962 ,3122 ,-2726
10-08 10:40:48 ,1163037407 ,-957 ,3126 ,-2720
10-08 10:40:48 ,1163037408 ,-951 ,3116 ,-2689
10-08 10:40:48 ,1163037408 ,-948 ,3105 ,-2658
10-08 10:40:48 ,1163037445 ,-949 ,3107 ,-2645
10-08 10:40:48 ,1163037445 ,-953 ,3121 ,-2647
10-08 10:40:48 ,1163037476 ,-959 ,3129 ,-2655
10-08 10:40:48 ,1163037476 ,-963 ,3126 ,-2659
10-08 10:40:48 ,1163037477 ,-968 ,3118 ,-2655
10-08 10:40:48 ,1163037477 ,-973 ,3104 ,-2659
10-08 10:40:48 ,1163037520 ,-976 ,3090 ,-2671
10-08 10:40:48 ,1163037520 ,-976 ,3076 ,-2683
10-08 10:40:48 ,1163037522 ,-977 ,3069 ,-2696
10-08 10:40:48 ,1163037522 ,-976 ,3071 ,-2698
10-08 10:40:49 ,1163037570 ,-974 ,3074 ,-2696
10-08 10:40:49 ,1163037570 ,-971 ,3075 ,-2705
10-08 10:40:49 ,1163037572 ,-968 ,3075 ,-2725
10-08 10:40:49 ,1163037572 ,-967 ,3077 ,-2743
10-08 10:40:49 ,1163037573 ,-966 ,3077 ,-2749
10-08 10:40:49 ,1163037573 ,-965 ,3072 ,-2748
10-08 10:40:49 ,1163037613 ,-963 ,3073 ,-2751
10-08 10:40:49 ,1163037613 ,-960 ,3074 ,-2755
10-08 10:40:49 ,1163037614 ,-957 ,3065 ,-2749
10-08 10:40:49 ,1163037614 ,-956 ,3057 ,-2734
10-08 10:40:49 ,1163037642 ,-956 ,3053 ,-2717
10-08 10:40:49 ,1163037642 ,-958 ,3052 ,-2708
10-08 10:40:49 ,1163037674 ,-961 ,3054 ,-2708
10-08 10:40:49 ,1163037674 ,-961 ,3054 ,-2714
10-08 10:40:49 ,1163037675 ,-961 ,3055 ,-2715
10-08 10:40:49 ,1163037675 ,-969 ,3061 ,-2709
10-08 10:40:49 ,1163037713 ,-971 ,3068 ,-2700
10-08 10:40:49 ,1163037713 ,-970 ,3078 ,-2691
10-08 10:40:49 ,1163037760 ,-968 ,3083 ,-2691
10-08 10:40:49 ,1163037760 ,-968 ,3083 ,-2690
10-08 10:40:49 ,1163037762 ,-964 ,3083 ,-2682
10-08 10:40:49 ,1163037762 ,-960 ,3086 ,-2675
10-08 10:40:49 ,1163037763 ,-959 ,3086 ,-2676
10-08 10:40:49 ,1163037763 ,-961 ,3082 ,-2680
10-08 10:40:49 ,1163037802 ,-964 ,3073 ,-2689
10-08 10:40:49 ,1163037802 ,-966 ,3065 ,-2689
10-08 10:40:49 ,1163037803 ,-968 ,3059 ,-2689
10-08 10:40:49 ,1163037803 ,-968 ,3052 ,-2692
10-08 10:40:49 ,1163037804 ,-968 ,3041 ,-2683
10-08 10:40:49 ,1163037804 ,-970 ,3030 ,-2689
10-08 10:40:49 ,1163037860 ,-969 ,3033 ,-2694
10-08 10:40:49 ,1163037860 ,-965 ,3045 ,-2684
10-08 10:40:49 ,1163037861 ,-960 ,3046 ,-2684
10-08 10:40:49 ,1163037861 ,-957 ,3052 ,-2665
10-08 10:40:49 ,1163037863 ,-957 ,3066 ,-2679
10-08 10:40:49 ,1163037863 ,-959 ,3074 ,-2708
10-08 10:40:49 ,1163037906 ,-961 ,3079 ,-2742
10-08 10:40:49 ,1163037906 ,-958 ,3077 ,-2763
10-08 10:40:49 ,1163037907 ,-953 ,3068 ,-2762
10-08 10:40:49 ,1163037907 ,-950 ,3059 ,-2743
10-08 10:40:49 ,1163037957 ,-951 ,3053 ,-2719
10-08 10:40:49 ,1163037957 ,-954 ,3054 ,-2706
10-08 10:40:49 ,1163037958 ,-958 ,3053 ,-2697
10-08 10:40:49 ,1163037958 ,-962 ,3048 ,-2684
10-08 10:40:49 ,1163037960 ,-967 ,3040 ,-2682
10-08 10:40:49 ,1163037960 ,-970 ,3031 ,-2693
10-08 10:40:49 ,1163037998 ,-973 ,3029 ,-2701
10-08 10:40:49 ,1163037998 ,-975 ,3031 ,-2706
10-08 10:40:49 ,1163037999 ,-975 ,3035 ,-2712
10-08 10:40:49 ,1163037999 ,-973 ,3040 ,-2718
10-08 10:40:49 ,1163038030 ,-970 ,3047 ,-2722
10-08 10:40:49 ,1163038030 ,-965 ,3055 ,-2725
10-08 10:40:49 ,1163038074 ,-957 ,3057 ,-2725
10-08 10:40:49 ,1163038074 ,-952 ,3054 ,-2721
10-08 10:40:49 ,1163038075 ,-951 ,3047 ,-2716
10-08 10:40:49 ,1163038075 ,-950 ,3040 ,-2709
10-08 10:40:49 ,1163038113 ,-950 ,3037 ,-2702
10-08 10:40:49 ,1163038113 ,-952 ,3032 ,-2695
10-08 10:40:49 ,1163038114 ,-952 ,3022 ,-2693
10-08 10:40:49 ,1163038114 ,-954 ,3014 ,-2691
10-08 10:40:49 ,1163038149 ,-958 ,3008 ,-2685
10-08 10:40:49 ,1163038149 ,-963 ,3007 ,-2681
10-08 10:40:49 ,1163038150 ,-967 ,3007 ,-2681
10-08 10:40:49 ,1163038150 ,-969 ,3006 ,-2682
10-08 10:40:49 ,1163038151 ,-971 ,3006 ,-2685
10-08 10:40:49 ,1163038151 ,-972 ,3005 ,-2686
10-08 10:40:49 ,1163038188 ,-972 ,3003 ,-2682
10-08 10:40:49 ,1163038188 ,-970 ,3003 ,-2675
10-08 10:40:49 ,1163038189 ,-968 ,3005 ,-2667
10-08 10:40:49 ,1163038189 ,-967 ,3010 ,-2661
10-08 10:40:49 ,1163038223 ,-966 ,3015 ,-2665
10-08 10:40:49 ,1163038223 ,-965 ,3017 ,-2680
10-08 10:40:49 ,1163038250 ,-964 ,3018 ,-2692
10-08 10:40:49 ,1163038250 ,-966 ,3024 ,-2704
10-08 10:40:49 ,1163038251 ,-968 ,3032 ,-2716
10-08 10:40:49 ,1163038251 ,-968 ,3035 ,-2719
10-08 10:40:49 ,1163038288 ,-968 ,3034 ,-2711
10-08 10:40:49 ,1163038288 ,-968 ,3028 ,-2692
10-08 10:40:49 ,1163038289 ,-969 ,3022 ,-2679
10-08 10:40:49 ,1163038289 ,-971 ,3024 ,-2683
10-08 10:40:49 ,1163038322 ,-972 ,3035 ,-2692
10-08 10:40:49 ,1163038322 ,-973 ,3045 ,-2698
10-08 10:40:49 ,1163038352 ,-975 ,3050 ,-2697
10-08 10:40:49 ,1163038352 ,-977 ,3054 ,-2702
10-08 10:40:49 ,1163038354 ,-977 ,3057 ,-2718
